"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
7546,0,0,2230,7088,25482,51321,27060,15983,46413,7164,3839,1519,100,"tower"
7551,141917,114302,87793,53462,74725,92471,102920,107503,103738,98860,117466,133495,100,"tower"
7552,284469,243603,111848,0,14515,100741,173250,191606,188922,15519,201210,251100,100,"tower"
7604,83810,7216,293910,80962,306504,259183,297087,217087,401680,78347,150793,99407,100,"tower"
7605,417152,209426,269458,295570,939,381643,416809,415389,402447,433513,419518,386652,100,"tower"
7697,0,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
7698,0,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
7699,0,0,0,273309,188160,369561,357657,339455,374042,8110,0,0,100,"tower"
7710,1966338,1933244,2030944,1870802,1960467,2468938,2693744,2637129,2455940,2120868,1735569,2178088,100,"tower"
7721,0,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
7737,0,0,0,0,0,0,0,0,0,0,0,0,95,"tower"
7757,1239415,1146099,1332663,1365452,815714,1178036,1380803,1403358,830807,1174397,1382373,1465407,100,"tower"
7784,12273.05,3287.95,952.85,835.05,942.4,7435.65,11783.8,2808.2,2966.85,739.1,4994.15,4934.3,95,"tower"
7790,1644109,1462724,1640927,1412444,1428571,1574330,1596751,1660570,1512782,1596265,1591183,1581729,100,"tower"
7805,1615078,1325956,1052999,712998,960586,1462138,1614316,1568788,1516001,1453120,1349887,1537539,100,"tower"
7826,750826,662197,721157,344212,707874,684800,722185,714667,613449,662599,712759,741464,100,"tower"
7834,757341,616599,587049,355223,740457,715509,682368,700513,679625,760597,646044,736243,100,"tower"
7845,698131,633471,597383,0,480207,572903,636947,709392,703996,484507,361240,339313,100,"tower"
7846,1386648,1015466,51020,0,746554,1506612,1691082,1695284,1614554,1686922,922550,1421552,100,"tower"
7870,0,112967,14714,0,22341,0,349012,382179,262877,77508,11317,287663,100,"tower"
7887,0,0,1625,0,36195,21370,44158,43330,17309,4060,0,2087,100,"tower"
