"Plant design conditions from EIA 860 report. User parameters (Min T,Min approach, and Max approach) specifies consitions used in model calculations",,,,,,,,,,,,
Days in month,,,,,,,,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,design
31,28,31,30,31,30,31,31,30,31,30,31,30
Min T,Min approach,max approach,,,,,,,,,,
4.44444,5,15,,,,,,,,,,
Plant Characteristics,,,DC,,,,,,,,,
Plant_ID,Elevation,Pond_Area,Tdb,Twb,nwT,,,,,,,
10839,1065,0,80.37292672,72,30.49,,,,,,,
10840,320,0,95.67340773,71.48329445,30.49,,,,,,,
10850,2425,0,94.17312354,68.54993647,30.49,,,,,,,
10869,1321,0,88.50105664,65.87333982,30.49,,,,,,,
10873,4268,0,94.25860634,69.48793165,30.49,,,,,,,
10874,3975,0,95.64825026,70.59300105,30.49,,,,,,,
10875,4060,0,95.64666388,70.58665553,30.49,,,,,,,
10878,-230,0,93.47235006,77.15583081,30.49,,,,,,,
10879,-230,0,93.47591154,77.15844812,30.49,,,,,,,
50002,1018,0,83.19175814,74.28224196,30.49,,,,,,,
50066,3551,0,92.93816155,69.62943188,30.49,,,,,,,
50071,17,0,86.27864089,79.19402749,30.49,,,,,,,
50099,4162,0,89.97235227,65.95198655,30.49,,,,,,,
50109,523,0,90.31780392,78.3377289,30.49,,,,,,,
50127,1024,0,91.63451792,76.76330695,30.49,,,,,,,
50201,2142,0,84.88779733,75.25853155,30.49,,,,,,,
50202,592,0,81.52253516,73.65921816,30.49,,,,,,,
50208,1055,0,80.38770105,72,30.49,,,,,,,
50210,-219,0,93.52950858,77.1890206,30.49,,,,,,,
50215,498,0,85.32806487,76.32806487,30.49,,,,,,,
