Plant.Code,state,water_source,gsf_v11_id,prms_id,elev_ft,pond_acres,latitude,longitude,huc_12
1912,MN,sw_fresh,16990,16995,701.25,1000000,44.9167,-93.079286,070102060805
1915,MN,sw_fresh,17424,17428,690.56,1000000,45.025904,-92.777853,070300051201
1918,MN,sw_fresh,17845,17860,896.51,1000000,44.796002,-95.51479,070200040207
1922,MN,sw_fresh,17441,17453,931.49,1000000,45.367223,-93.88821,070102030603
1925,MN,sw_fresh,17023,17030,695.13,1000000,44.706496,-92.684146,070400010102
1926,MN,sw_fresh,17036,17035,676.87,1000000,44.580996,-92.520037,070400010403
1927,MN,sw_fresh,16987,16976,822.1,1000000,44.968921,-93.230859,070102060703
1934,MN,sw_fresh,17887,17901,778.86,1000000,44.184969,-94.005005,070200071102
1943,MN,sw_fresh,23609,23609,1201.29,1000000,46.282668,-96.007707,090201030904
1960,MN,sw_fresh,18877,18892,1197.17,1000000,43.714369,-92.971838,070802010206
1961,MN,sw_fresh,18876,18890,1210.92,1000000,43.714369,-92.971838,070802010206
1979,MN,gw_fresh,9902,9906,1481.15,1000000,47.440248,-92.904999,040102010602
1980,MN,municipal,17157,17160,1038.6,1000000,44.834279,-94.286737,070102050302
1990,MN,municipal,25720,25738,1447.18,1000000,43.662687,-96.18882,1.01702E+11
2001,MN,municipal,17902,17913,850.14,1000000,44.323165,-94.401758,070200070604
2003,MN,municipal,17063,17068,1134.62,1000000,44.077779,-93.183396,070400020307
2008,MN,sw_fresh,17271,17273,986.12,1000000,43.991853,-92.512887,070400040108
2018,MN,sw_fresh,9909,9916,1434,45.1032218,47.477069,-92.584556,040102010704
2022,MN,gw_fresh,17823,17836,1130.63,1000000,45.092742,-94.98872,070102050101
2039,MN,sw_fresh,17442,17455,849.64,1000000,45.285945,-93.675128,070102030605
2046,MS,sw_fresh,9877,8534,144.97,1000000,31.3037,-89.274916,031700050601
2048,MS,gw_fresh,8576,8638,286.3,1000000,32.328455,-88.780217,031700010603
2050,MS,sw_fresh,22623,22179,104.16,1000000,32.28653,-90.900164,080601000103
2051,MS,sw_fresh,22168,22207,141.04,580.1369364,33.830771,-90.638691,080302070403
